"time","totalforcing"
1917-03-01,0.436074754665191
1917-04-01,0.437286402191369
1917-05-01,0.438498049717546
1917-06-01,0.439709697243726
1917-07-01,0.440921344769903
1917-08-01,0.44213299229608
1917-09-01,0.443344639822261
1917-10-01,0.444556287348438
1917-11-01,0.445767934874615
1917-12-01,0.446979582400795
1918-01-01,0.448191229926972
1918-02-01,0.451483915567899
1918-03-01,0.454776601208835
1918-04-01,0.458069286849762
1918-05-01,0.461361972490689
1918-06-01,0.464654658131625
1918-07-01,0.467947343772552
1918-08-01,0.471240029413479
1918-09-01,0.474532715054415
1918-10-01,0.477825400695342
1918-11-01,0.481118086336269
1918-12-01,0.484410771977205
1919-01-01,0.487703457618132
1919-02-01,0.482814258542326
1919-03-01,0.477925059466506
1919-04-01,0.4730358603907
1919-05-01,0.468146661314894
1919-06-01,0.463257462239074
1919-07-01,0.458368263163268
1919-08-01,0.453479064087462
1919-09-01,0.448589865011642
1919-10-01,0.443700665935836
1919-11-01,0.43881146686003
1919-12-01,0.43392226778421
1920-01-01,0.429033068708404
1920-02-01,0.434397907844068
1920-03-01,0.439762746979746
1920-04-01,0.44512758611541
1920-05-01,0.450492425251073
1920-06-01,0.455857264386752
1920-07-01,0.461222103522415
1920-08-01,0.466586942658079
1920-09-01,0.471951781793758
1920-10-01,0.477316620929421
1920-11-01,0.482681460065085
1920-12-01,0.488046299200763
1921-01-01,0.493411138336427
1921-02-01,0.480716430527052
1921-03-01,0.468021722717641
1921-04-01,0.455327014908266
1921-05-01,0.44263230709889
1921-06-01,0.42993759928948
1921-07-01,0.417242891480105
1921-08-01,0.404548183670729
1921-09-01,0.391853475861319
1921-10-01,0.379158768051943
1921-11-01,0.366464060242568
1921-12-01,0.353769352433158
1922-01-01,0.341074644623782
1922-02-01,0.342504522373416
1922-03-01,0.343934400123054
1922-04-01,0.345364277872687
1922-05-01,0.346794155622321
1922-06-01,0.348224033371959
1922-07-01,0.349653911121592
1922-08-01,0.351083788871226
